-544, 260, 446
-578, 349, 828
-579, 588, 1073
-513, 852, 1439
-492, 1026, 1905
-501, 1108, 1998
-472, 1068, 1998
-415, 861, 1998
-409, 711, 1998
-431, 807, 1998
-317, 899, 1998
-201, 864, 1998
-87, 843, 1998
-87, 843, 1998
-15, 986, 1998
91, 1094, 1998
190, 1096, 1998
257, 1068, 1998
308, 1040, 1998
356, 1069, 1998
423, 1058, 1915
551, 1021, 1666
-,-,-
97, 44, 1553
164, 9, 1568
234, -14, 1616
264, 28, 1651
264, 28, 1651
329, 52, 1667
389, 9, 1636
425, -9, 1579
462, -21, 1486
514, -13, 1389
514, -13, 1389
544, -36, 1249
544, -34, 1026
518, -32, 797
463, -70, 626
427, -101, 463
378, -94, 271
378, -94, 271
338, -94, 141
282, -114, 5
213, -172, -100
140, -196, -191
55, -182, -232
55, -182, -232
-15, -167, -186
-57, -149, -87
-107, -126, -27
-185, -89, 7
-292, -84, 57
-373, -100, 102
-441, -89, 73
-441, -89, 73
-544, -38, -51
-638, -4, -68
-630, 24, 82
-596, 80, 229
-596, 80, 229
-557, 167, 296
-509, 327, 484
-420, 537, 844
-371, 768, 1227
-344, 902, 1623
-314, 989, 1870
-254, 1235, 1981
-156, 1319, 1998
-105, 1175, 1998
-68, 1143, 1998
-33, 1208, 1998
121, 1059, 1998
121, 1059, 1998
239, 811, 1998
311, 801, 1998
436, 813, 1998
548, 814, 1998
619, 768, 1998
-,-,-
40, -63, 1507
148, -50, 1720
219, 27, 1849
219, 27, 1849
270, 54, 1841
351, 106, 1766
376, 120, 1767
381, 114, 1692
395, 88, 1502
395, 88, 1502
424, 44, 1275
469, 18, 1067
484, -9, 867
489, -67, 712
435, -112, 569
435, -112, 569
404, -147, 402
368, -186, 242
326, -208, 66
272, -205, -40
197, -182, -96
132, -209, -185
132, -209, -185
44, -205, -275
-46, -182, -342
-141, -189, -414
-201, -203, -452
-248, -170, -464
-324, -110, -433
-419, -70, -350
-482, -33, -218
-500, 43, -74
-490, 192, 0
-455, 366, 193
-455, 366, 193
-389, 470, 573
-339, 640, 913
-297, 821, 1235
-239, 851, 1453
-156, 844, 1630
-70, 905, 1947
-85, 837, 1998
-102, 770, 1998
-164, 953, 1998
-164, 953, 1998
-127, 1065, 1998
7, 1075, 1998
128, 1103, 1998
219, 1172, 1998
278, 1208, 1998
332, 1151, 1998
391, 1094, 1998
428, 1009, 1998
468, 909, 1944
518, 878, 1706
618, 942, 1452
618, 942, 1452
-,-,-
110, -84, 1344
104, -85, 1400
132, -87, 1534
132, -30, 1702
157, -57, 1858
196, -71, 1945
220, -33, 1897
268, -6, 1794
268, -6, 1794
316, -3, 1677
356, 18, 1518
397, 13, 1307
432, 26, 1079
432, 26, 1079
434, 45, 861
432, 5, 618
382, -47, 365
337, -121, 115
337, -121, 115
329, -172, -55
324, -217, -157
301, -244, -251
240, -255, -320
163, -224, -357
61, -160, -339
-15, -122, -257
-103, -110, -205
-188, -97, -194
-241, -43, -175
-305, 22, -109
-305, 22, -109
-355, 78, -15
-411, 152, 116
-418, 188, 247
-421, 234, 384
-420, 330, 507
-376, 473, 703
-376, 473, 703
-351, 598, 1005
-316, 682, 1338
-273, 706, 1620
-277, 729, 1690
-322, 793, 1648
-353, 955, 1894
-366, 1011, 1998
-319, 998, 1998
-162, 1046, 1998
-3, 907, 1998
153, 817, 1998
153, 817, 1998
269, 777, 1998
344, 729, 1998
376, 708, 1998
373, 705, 1998
409, 773, 1998
453, 799, 1998
491, 802, 1994
491, 802, 1994
-,-,-
195, -120, 1539
240, -115, 1680
247, -115, 1793
262, -137, 1757
279, -134, 1634
279, -134, 1634
296, -165, 1520
299, -178, 1338
320, -164, 1186
330, -169, 1060
334, -150, 944
339, -129, 773
340, -113, 585
307, -123, 421
272, -147, 281
272, -147, 281
228, -172, 167
182, -197, 60
133, -239, -40
78, -273, -135
18, -306, -209
-40, -280, -211
-82, -206, -175
-82, -206, -175
-128, -146, -121
-180, -109, -85
-279, -145, -108
-343, -130, -111
-357, -33, -77
-349, 76, -25
-408, 135, 22
-455, 170, 156
-404, 209, 287
-325, 337, 407
-325, 337, 407
-286, 432, 521
-264, 491, 894
-242, 603, 1335
-210, 758, 1565
-187, 967, 1863
-79, 935, 1998
43, 992, 1998
161, 1190, 1998
161, 1190, 1998
285, 1266, 1998
398, 1355, 1998
497, 1299, 1998
548, 1181, 1998
542, 1055, 1998
549, 965, 1998
620, 896, 1998
661, 854, 1998
670, 881, 1997
670, 881, 1997
719, 944, 1915
766, 982, 1762
-,-,-
226, -240, 1666
291, -278, 1668
368, -207, 1870
425, -119, 1995
464, -79, 1998
446, -36, 1919
434, 0, 1705
397, 14, 1427
397, 14, 1427
369, -27, 1150
333, -71, 870
274, -89, 571
219, -144, 295
200, -197, 137
200, -197, 137
181, -225, -7
136, -252, -109
105, -289, -185
50, -289, -217
-2, -309, -206
-40, -311, -204
-65, -292, -212
-94, -258, -223
-94, -258, -223
-150, -198, -211
-195, -147, -87
-247, -113, 32
-308, -117, 77
-321, -87, 56
-361, 27, 171
-384, 93, 347
-378, 153, 506
-378, 153, 506
-363, 252, 656
-399, 446, 869
-434, 591, 1190
-444, 706, 1580
-425, 784, 1852
-409, 880, 1900
-399, 889, 1953
-366, 771, 1998
-394, 755, 1963
-352, 792, 1863
-352, 792, 1863
-203, 752, 1919
-78, 677, 1992
-18, 696, 1998
85, 708, 1998
272, 636, 1998
419, 611, 1998
432, 683, 1998
432, 683, 1998
402, 740, 1998
453, 770, 1998
510, 843, 1998
-,-,-
-43, -333, 1253
-40, -269, 1419
-5, -235, 1612
81, -215, 1706
154, -177, 1730
215, -128, 1688
256, -118, 1582
292, -98, 1448
313, -113, 1279
313, -113, 1279
320, -137, 1115
332, -151, 967
328, -174, 778
315, -213, 595
311, -239, 430
273, -258, 306
234, -277, 194
198, -293, 96
198, -293, 96
136, -321, 5
80, -330, -87
31, -320, -156
-29, -301, -189
-78, -279, -193
-78, -279, -193
-121, -271, -203
-154, -239, -183
-214, -196, -110
-269, -119, -41
-318, -16, 70
-378, 74, 190
-425, 104, 226
-347, 150, 301
-254, 185, 478
-272, 228, 654
-272, 228, 654
-319, 289, 780
-292, 333, 1005
-313, 439, 1239
-360, 608, 1379
-342, 758, 1481
-318, 888, 1699
-327, 1055, 1879
-334, 1188, 1996
-297, 1180, 1998
-260, 1112, 1997
-199, 1165, 1997
-71, 1203, 1998
121, 1089, 1998
254, 1022, 1998
254, 1022, 1998
342, 951, 1998
390, 868, 1998
434, 803, 1998
459, 780, 1998
444, 777, 1998
443, 767, 1932
441, 732, 1828
448, 742, 1713
448, 742, 1713
457, 729, 1614
416, 642, 1615
-,-,-
135, -55, 1459
173, -48, 1460
173, -48, 1460
224, -26, 1523
265, -1, 1488
293, -17, 1391
321, -14, 1303
354, -18, 1177
361, -52, 1069
360, -91, 972
360, -91, 972
357, -147, 849
347, -194, 750
340, -227, 713
332, -242, 714
320, -251, 694
303, -246, 699
303, -246, 699
283, -249, 694
246, -257, 665
212, -273, 645
203, -271, 606
185, -275, 557
141, -284, 495
97, -266, 455
97, -266, 455
56, -248, 443
22, -245, 416
-38, -266, 412
-71, -320, 408
-73, -324, 441
-73, -324, 441
-92, -257, 495
-118, -244, 534
-109, -233, 621
-95, -200, 679
-102, -216, 706
-112, -240, 693
-113, -217, 688
-105, -158, 692
-81, -116, 667
-81, -116, 667
-64, -55, 709
-34, 36, 728
-6, 110, 683
-21, 53, 533
-21, 53, 533
-50, 68, 523
-41, 146, 666
-20, 214, 816
-54, 235, 983
-54, 235, 983
-90, 250, 1070
-80, 340, 1123
-63, 408, 1258
-62, 441, 1422
-76, 517, 1459
-71, 600, 1437
-71, 600, 1437
-50, 661, 1421
-40, 707, 1519
-16, 696, 1526
-36, 688, 1406
-25, 662, 1272
1, 651, 1286
1, 651, 1286
43, 639, 1326
63, 650, 1341
88, 619, 1328
119, 578, 1323
149, 575, 1358
149, 575, 1358
189, 620, 1385
242, 644, 1406
283, 635, 1412
315, 629, 1429
337, 646, 1416
362, 661, 1397
392, 653, 1417
392, 653, 1417
408, 622, 1408
406, 594, 1354
401, 565, 1282
391, 547, 1265
379, 535, 1256
396, 476, 1215
382, 413, 1201
382, 413, 1201
343, 363, 1166
340, 332, 1134
362, 296, 1143
355, 259, 1147
355, 242, 1134
361, 224, 1114
358, 229, 1073
358, 229, 1073
354, 237, 983
358, 218, 843
-,-,-
186, -44, 1375
200, -50, 1406
200, -50, 1406
220, -36, 1407
257, -68, 1403
294, -97, 1386
314, -97, 1339
342, -124, 1263
345, -164, 1216
348, -215, 1167
